	ion	x0	integer_mass	KMD_CH2	e_KMD_CH2	KMD_CH2_matches
82	<unknown0051>	296.98906	297	0.34256064	0.00593315	<unknown0079>, <unknown0109>, <unknown0152>
83	<unknown0049>	297.01378900000003	297	0.31785925	0.00593364	H14IO8, <unknown0034>, <unknown0168>
84	IC7H7O5	297.93382132229	298	0.39885424	0.00595202	IC6H5O5, IC8H9O5
85	<unknown0055>	297.954224	298	0.37847435	0.00595243	
86	<unknown0053>	297.991377	298	0.34136283	0.00595317	
87	<unknown0056>	298.028532	298	0.30424932	0.00595392	<unknown0037>
88	H2I2NO2	301.817499	302	-0.48048688	0.00602961	
89	IC6H7O6	301.92873594185	302	0.40840038	0.00603183	<unknown0124>
90	<unknown0060>	301.95519	302	0.38197586	0.00603236	IC6H9O5, <unknown0092>, IC9H15NO5
91	<unknown0057>	301.980125	302	0.35706871	0.00603286	<unknown0123>
92	<unknown0059>	302.029996	302	0.30725339	0.00603385	<unknown0045>
93	<unknown0063>	302.828	303	-0.48985955	0.0060498	
94	<unknown0061>	302.887149	303	0.4510575	0.00605098	IC6H6NO7
95	IC9H4O4	302.915432	303	0.42280608	0.00605154	
96	IC6H8O6	302.936561	303	0.40170067	0.00605197	<unknown0094>, IC8H12O6
97	<unknown0062>	302.966556	303	0.37173916	0.00605257	IC6H10O5, <unknown0093>, <unknown0129>
98	<unknown0064>	303.016	303	0.32235037	0.00605355	
99	IC6H11NO5	303.96819545537005	304	0.37121815	0.00607258	IC7H13NO5, IC9H17O5
100	<unknown0071>	304.829361	305	-0.48898581	0.00608978	
101	<unknown0065>	304.86087599999996	305	0.47953438	0.00609041	
102	<unknown0067>	304.904521	305	0.43593811	0.00609128	IC6H8O7
103	IC6H10O6	304.952211	305	0.38830136	0.00609223	<unknown0096>, IC11H20O6
104	<unknown0066>	304.99222000000003	305	0.34833704	0.00609303	
105	<unknown0072>	305.93661299999997	306	0.40499856	0.0061119	<unknown0135>
106	IC6H11O6	305.960036	306	0.38160171	0.00611237	<unknown0172>
107	IC6H13NO5	305.98384599999997	306	0.3578183	0.00611284	<unknown0102>, <unknown0131>
108	<unknown0074>	306.850337	307	0.49229483	0.00613015	<unknown0140>
109	<unknown0073>	306.890822	307	0.45185503	0.00613096	IC6H8O8
110	IC6H12O6	306.96786099999997	307	0.37490206	0.0061325	C5H10IO6, <unknown0137>
111	<unknown0075>	308.907196	309	0.43773253	0.00617125	<unknown0012>, C3H4IO8, IC6H10O8
112	<unknown0077>	308.939119	309	0.40584518	0.00617188	IC6H4N1O4, IC6H12O7, <unknown0149>
113	C6H3N3O12	308.971673	309	0.37332753	0.00617253	IC6H4O4, IC8H8O4, <unknown0146>
114	<unknown0076>	309.00217299999997	309	0.34286159	0.00617314	<unknown0011>, <unknown0048>
115	<unknown0078>	309.941534	310	0.40454949	0.00619191	
116	C6H4N3O12	309.979498	310	0.36662788	0.00619267	
117	<unknown0080>	310.884	311	0.46313585	0.00621074	CH3I2, <unknown0151>
118	IC8H8O5	310.94164635436	311	0.40555387	0.00621189	<unknown0052>, IC6H14N1O7, IC12H16O5
119	<unknown0079>	310.997991	311	0.34927214	0.00621301	<unknown0051>
120	<unknown0081>	311.049	311	0.29832009	0.00621403	<unknown0006>
121	<unknown0087>	311.896938	312	0.45132891	0.00623097	
122	IC8H9O5	311.94947138643	312	0.39885418	0.00623202	IC6H5O5, IC7H7O5
123	<unknown0084>	311.985637	312	0.36272895	0.00623275	IC7H9O4
124	<unknown0082>	312.02365499999996	312	0.3247534	0.0062335	
125	C2H3I2O2	312.82225	313	-0.47294988	0.00624946	C3H5I2O2, <unknown0164>
126	IC8H10O5	312.9572964185	313	0.39215449	0.00625216	<unknown0016>, <unknown0116>, IC9H12N1O5
127	<unknown0088>	313.012927	313	0.33658603	0.00625327	<unknown0118>, <unknown0159>
128	<unknown0090>	313.064	313	0.28557006	0.00625429	C3H6IO2
129	I2NO3	315.796764	316	-0.44414251	0.00630888	
130	<unknown0092>	315.982682	316	0.37014709	0.0063126	IC6H9O5, <unknown0060>
131	IC6H6O7	316.91582552934	317	0.43804551	0.00633124	IC6H6NO7
132	<unknown0094>	316.947	317	0.40690585	0.00633186	IC6H8O6, IC8H12O6
133	<unknown0093>	316.985674	317	0.36827504	0.00633263	IC6H10O5, <unknown0062>, <unknown0129>
134	IC6H9NO6	317.94746001079	318	0.40756296	0.00635185	<unknown0130>
135	IC7H13NO5	317.98384551951	318	0.37121808	0.00635258	IC6H11NO5, IC9H17O5
136	C6H10N2O13	318.01828838458	318	0.33681368	0.00635326	
137	<unknown0100>	318.891754	319	0.46432338	0.00637071	<unknown0169>
138	IC6H8O7	318.93147559347995	319	0.42464614	0.00637151	<unknown0067>
139	<unknown0096>	318.96862799999997	319	0.38753522	0.00637225	IC6H10O6, IC11H20O6
140	<unknown0095>	319.03269700000004	319	0.32353776	0.00637353	IC6H14O4, <unknown0171>
141	<unknown0101>	319.058327	319	0.29793638	0.00637404	
142	IC6H9O7	319.93930062555	320	0.41794646	0.00639164	IC6H9NO7, <unknown0135>, IC9H15N1O7
143	<unknown0102>	319.994508	320	0.36280073	0.00639274	IC6H13NO5, <unknown0131>
144	<unknown0103>	320.046	320	0.31136622	0.00639377	
145	<unknown0105>	320.881	321	0.47729859	0.00641045	<unknown0140>
146	IC6H10O7	320.94712565761995	321	0.41124677	0.00641178	
147	<unknown0104>	321.00917999999996	321	0.34926172	0.00641301	C6H3N3O11
148	IC6H11O7	321.95495068968995	322	0.40454708	0.00643191	IC6H11N1O7
149	<unknown0106>	321.99971	322	0.35983775	0.0064328	<unknown0047>
150	IC8H4O6	322.905261	323	0.4552979	0.00645089	<unknown0012>, <unknown0143>
151	IC6H12O7	322.96277599999996	323	0.39784712	0.00645204	IC6H4N1O4, <unknown0077>, <unknown0149>
152	<unknown0107>	323.906076	324	0.45560042	0.00647089	<unknown0150>
153	IC6H13O7	323.970601	324	0.39114747	0.00647218	IC6H5N1O4, IC6H5NO4, IC7H15O7
154	<unknown0108>	324.917938	325	0.44486827	0.0064911	<unknown0166>
155	<unknown0111>	324.94165699999996	325	0.42117576	0.00649158	
156	IC10H14O4	324.993682	325	0.36920885	0.00649262	IC6H6O4, IC7H8O4, IC8H10O4
157	<unknown0109>	325.032192	325	0.33074185	0.00649339	H14IO8, <unknown0051>, <unknown0152>
158	<unknown0112>	325.109803	325	0.25321751	0.00649494	
159	C3H5I2O2	326.8379	327	-0.47294988	0.00652946	C2H3I2O2, <unknown0164>
160	<unknown0113>	326.938002	327	0.42705989	0.00653146	
161	<unknown0116>	326.962276	327	0.402813	0.00653194	<unknown0016>, IC8H10O5, IC9H12N1O5
162	IC10H16O4	327.009332	327	0.35580954	0.00653288	IC6H8O4
163	<unknown0118>	327.040118	327	0.32505792	0.0065335	C2H2IO3, <unknown0088>, <unknown0159>
164	<unknown0115>	327.066067	327	0.29913789	0.00653402	
165	C2H4I2NO2	327.83314900000005	328	-0.46708758	0.00654934	<unknown0042>
166	<unknown0120>	327.933758	328	0.43241576	0.00655135	
167	<unknown0119>	327.992191	328	0.37404801	0.00655252	IC6H7O5
168	C13H12O10	328.043047	328	0.3232488	0.00655354	<unknown0039>
169	<unknown0122>	328.091881	328	0.27446933	0.00655451	
170	IC10H18O4	329.02498199999997	329	0.34241023	0.00657315	C6H10IO4
171	IC6H5N1O7	329.91107450207	330	0.45730715	0.00659085	<unknown0165>
172	<unknown0124>	329.965851	330	0.40259182	0.00659195	IC6H7O6
173	<unknown0123>	330.01798199999996	330	0.35051903	0.00659299	<unknown0057>
174	<unknown0125>	330.04404900000003	330	0.32448113	0.00659351	<unknown0045>
175	<unknown0127>	330.839587	331	-0.47016856	0.0066094	
176	IC6H6NO7	330.91889953414	331	0.45060747	0.00661099	<unknown0061>, IC6H6O7
177	IC8H12O6	330.9678611022	331	0.40170057	0.00661197	IC6H8O6, <unknown0094>
178	<unknown0129>	330.99619900000005	331	0.37339431	0.00661253	IC6H10O5, <unknown0062>, <unknown0093>
179	<unknown0126>	331.022304	331	0.34731846	0.00661305	
180	<unknown0130>	331.975863	332	0.39482421	0.0066321	IC6H9NO6
181	IC9H17O5	332.01207164299	332	0.358656	0.00663283	IC6H11NO5, IC7H13NO5
182	BrI2	332.727283	333	-0.35575674	0.00664712	
183	IC6H9NO7	333.94237463035	334	0.43050841	0.00667139	IC6H9O7, IC9H15N1O7
184	<unknown0135>	333.965756	334	0.40715315	0.00667186	<unknown0072>, IC6H9O7
185	<unknown0131>	334.00509	334	0.36786307	0.00667264	IC6H13NO5, <unknown0102>, <unknown0172>
186	<unknown0136>	334.72296800000004	335	-0.34921334	0.00668698	
187	<unknown0140>	334.884154	335	0.48978064	0.0066902	<unknown0074>, <unknown0105>
188	IC6H8O8	334.92638999999997	335	0.4475918	0.00669105	<unknown0073>
189	<unknown0137>	334.989194	335	0.38485793	0.0066923	C5H10IO6, IC6H12O6
190	IC6H11N1O7	335.95802469448995	336	0.41710904	0.00671166	IC6H11O7
191	IC7H15N1O6	335.99441020321	336	0.38076416	0.00671238	IC8H7O4
192	<unknown0147>	336.87	337	-0.49384795	0.00672988	
193	<unknown0143>	336.909069	337	0.46712668	0.00673066	IC8H4O6
194	IC6H10O8	336.94203999999996	337	0.43419249	0.00673132	C3H4IO8, <unknown0075>
195	<unknown0149>	336.97	337	0.40626371	0.00673187	IC6H4N1O4, <unknown0077>, IC6H12O7
196	<unknown0146>	337.00125499999996	337	0.37504361	0.0067325	IC6H4O4, IC8H8O4, C6H3N3O12
